longitude	latitude	temperature moyenne
-80.0707725756	29.3784	11.6666666667
-74.2999203783	41.5338	2.77777777778
-61.6541299407	42.57083	-12.2222222222
-74.3729088856	32.54278	8.88888888889
-77.1130640541	33.20611	9.44444444444
-68.6025882351	30.4	11.6666666667
-66.1107685291	42.2313	-6.11111111111
-86.9563655513	31.4583	13.3333333333
-62.5946979268	41.17833	-11.6666666667
-71.8709818581	41.61389	-2.77777777778
-88.9203672799	33.68833	13.3333333333
-75.8097590537	30.0675	10.5555555556
-58.2978089669	41.37139	-8.88888888889
-59.598686306	40.33	-7.22222222222
-92.6243991557	43.2044	0.555555555556
-81.8814429041	29.3483	13.8888888889
-88.9215811105	33.3471	13.3333333333
-84.0117552935	33.6476	3.88888888889
-82.257516188	30.38333	9.44444444444
-77.0411148397	36.1346	5.0
-64.0179817528	28.6159	9.44444444444
-85.9705446906	35.0461	0.0
-82.3678478371	37.8639	5.55555555556
-69.2963995317	34.6602	3.88888888889
-53.855442805	46.9601	-20.0
-83.2468040028	34.1373	9.44444444444
-62.250945858	37.9975	-2.22222222222
-95.3621028623	47.3977	-5.55555555556
-72.5821358588	44.86639	-3.33333333333
-60.4336906967	36.26056	1.66666666667
-68.0601963569	30.349	10.0
-90.9332078402	34.7675	11.6666666667
-85.5937891229	40.04417	0.0
-68.8485277706	33.17833	6.66666666667
-63.3514856116	38.8853	-9.44444444444
-91.8612725776	40.8288	1.11111111111
-73.6344317959	33.22083	6.66666666667
-61.0024774405	42.15944	-11.6666666667
-95.6231002442	47.03389	-5.55555555556
-84.3936200568	31.81111	9.44444444444
-91.1139337311	39.2952	4.44444444444
-61.8751661148	42.10944	-12.7777777778
-76.3164024304	38.32917	8.33333333333
-69.7659536397	42.595	-7.77777777778
-94.8179418062	47.3078	-5.55555555556
-63.9605905721	35.01694	3.88888888889
-63.6130542079	42.08	-10.0
-73.2229908201	31.39278	15.0
-75.1671428481	43.4075	-0.555555555556
-67.5372892368	31.95139	8.33333333333
-97.7574746027	44.1278	0.555555555556
-69.434681019	38.0441	-2.22222222222
-88.0864656504	41.27306	2.22222222222
-56.295028127	41.67639	-9.44444444444
-61.1262881628	35.0677	3.88888888889
-58.8425729715	40.6825	-5.55555555556
-68.4630849837	39.825	-6.66666666667
-94.9578100001	43.4711	-5.55555555556
-84.6836462374	32.6137	7.22222222222
-82.1255577269	39.7857	6.66666666667
-70.6642200257	32.3378	6.66666666667
-60.2369390683	37.2907	-0.555555555556
-87.259823204	37.601	2.77777777778
-69.9241006946	32.8369	6.66666666667
-73.8984835881	39.8668	3.88888888889
-66.1574177055	33.7837	6.11111111111
-76.8054174958	46.92528	-1.66666666667
-94.9797858877	36.78	11.1111111111
-62.5799336211	34.99139	3.88888888889
-74.1551333937	44.8321	-0.555555555556
-78.2167058193	34.21	8.88888888889
